date,region_level,region,variable,value,source
2020-02-17,hospital_district,Southwest Finland Hospital District,cases,0.0,THL
2020-02-17,hospital_district,Vaasa Hospital District,cases,0.0,THL
2020-02-17,hospital_district,Åland,cases,0.0,THL
2020-02-24,hospital_district,All areas,cases,7.0,THL
2020-02-24,hospital_district,Central Finland Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Central Ostrobothnia Hospital District,cases,1.0,THL
2020-02-24,hospital_district,Helsinki and Uusimaa Hospital District,cases,6.0,THL
2020-02-24,hospital_district,Itä-Savo Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Kainuu Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Kanta-Häme Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Kymenlaakso Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Lappi Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Länsi-Pohja Hospital District,cases,0.0,THL
2020-02-24,hospital_district,North Karelia Hospital District,cases,0.0,THL
2020-02-24,hospital_district,North Ostrobothnia Hospital District,cases,0.0,THL
2020-02-24,hospital_district,North Savo Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Pirkanmaa Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Päijät-Häme Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Satakunta Hospital District,cases,0.0,THL
2020-02-24,hospital_district,South Karelia Hospital District,cases,0.0,THL
2020-02-24,hospital_district,South Ostrobothnia Hospital District,cases,0.0,THL
2020-02-24,hospital_district,South Savo Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Southwest Finland Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Vaasa Hospital District,cases,0.0,THL
2020-02-24,hospital_district,Åland,cases,0.0,THL
2020-03-02,hospital_district,All areas,cases,51.0,THL
2020-03-02,hospital_district,Central Finland Hospital District,cases,2.0,THL
2020-03-02,hospital_district,Central Ostrobothnia Hospital District,cases,0.0,THL
2020-03-02,hospital_district,Helsinki and Uusimaa Hospital District,cases,26.0,THL
2020-03-02,hospital_district,Itä-Savo Hospital District,cases,0.0,THL
2020-03-02,hospital_district,Kainuu Hospital District,cases,0.0,THL
2020-03-02,hospital_district,Kanta-Häme Hospital District,cases,4.0,THL
2020-03-02,hospital_district,Kymenlaakso Hospital District,cases,0.0,THL
2020-03-02,hospital_district,Lappi Hospital District,cases,0.0,THL
2020-03-02,hospital_district,Länsi-Pohja Hospital District,cases,0.0,THL
2020-03-02,hospital_district,North Karelia Hospital District,cases,1.0,THL
2020-03-02,hospital_district,North Ostrobothnia Hospital District,cases,1.0,THL
2020-03-02,hospital_district,North Savo Hospital District,cases,3.0,THL
2020-03-02,hospital_district,Pirkanmaa Hospital District,cases,10.0,THL
2020-03-02,hospital_district,Päijät-Häme Hospital District,cases,0.0,THL
2020-03-02,hospital_district,Satakunta Hospital District,cases,0.0,THL
2020-03-02,hospital_district,South Karelia Hospital District,cases,1.0,THL
2020-03-02,hospital_district,South Ostrobothnia Hospital District,cases,1.0,THL
2020-03-02,hospital_district,South Savo Hospital District,cases,0.0,THL
2020-03-02,hospital_district,Southwest Finland Hospital District,cases,2.0,THL
2020-03-02,hospital_district,Vaasa Hospital District,cases,0.0,THL
2020-03-02,hospital_district,Åland,cases,0.0,THL
2020-03-09,hospital_district,All areas,cases,351.0,THL
2020-03-09,hospital_district,Central Finland Hospital District,cases,13.0,THL
2020-03-09,hospital_district,Central Ostrobothnia Hospital District,cases,2.0,THL
2020-03-09,hospital_district,Helsinki and Uusimaa Hospital District,cases,226.0,THL
2020-03-09,hospital_district,Itä-Savo Hospital District,cases,0.0,THL
2020-03-09,hospital_district,Kainuu Hospital District,cases,1.0,THL
2020-03-09,hospital_district,Kanta-Häme Hospital District,cases,9.0,THL
2020-03-09,hospital_district,Kymenlaakso Hospital District,cases,1.0,THL
2020-03-09,hospital_district,Lappi Hospital District,cases,3.0,THL
2020-03-09,hospital_district,Länsi-Pohja Hospital District,cases,0.0,THL
2020-03-09,hospital_district,North Karelia Hospital District,cases,2.0,THL
2020-03-09,hospital_district,North Ostrobothnia Hospital District,cases,30.0,THL
2020-03-09,hospital_district,North Savo Hospital District,cases,1.0,THL
2020-03-09,hospital_district,Pirkanmaa Hospital District,cases,19.0,THL
2020-03-09,hospital_district,Päijät-Häme Hospital District,cases,2.0,THL
2020-03-09,hospital_district,Satakunta Hospital District,cases,10.0,THL
2020-03-09,hospital_district,South Karelia Hospital District,cases,1.0,THL
2020-03-09,hospital_district,South Ostrobothnia Hospital District,cases,4.0,THL
2020-03-09,hospital_district,South Savo Hospital District,cases,5.0,THL
2020-03-09,hospital_district,Southwest Finland Hospital District,cases,16.0,THL
2020-03-09,hospital_district,Vaasa Hospital District,cases,6.0,THL
2020-03-09,hospital_district,Åland,cases,0.0,THL
2020-03-16,hospital_district,All areas,cases,571.0,THL
2020-03-16,hospital_district,Central Finland Hospital District,cases,16.0,THL
2020-03-16,hospital_district,Central Ostrobothnia Hospital District,cases,1.0,THL
